id;relation;mots;mots_rel;Label
660;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('coeur', 'de', 'le', 'quartier', 'de', 'la', 'Libération');('coeur', 'quartier', 'Libération');0
661;(('ET', 'EG'), ('nmod',));('coeur', 'de', 'le', 'quartier');('coeur', 'quartier');1
662;(('ET', 'NOUN', 'EG'), ('conj', 'nmod'));('coeur', 'de', 'le', 'quartier', 'de', 'la', 'Libération', ',', 'Le', 'Malausséna', ',', 'à', 'l', 'angle', 'de', 'deux', 'artères');('coeur', 'angle', 'artères');0
663;(('ET', 'EG'), ('nmod',));('vue', 'avenue');('vue', 'avenue');1
664;(('ET', 'TOPONYME'), ('nmod',));('mètres', 'de', 'la', 'Promenade de les Anglais');('mètres', 'Promenade de les Anglais');1
665;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('mètres', 'de', 'la', 'Promenade de les Anglais', 'et', 'de', 'la', 'zone piétonne');('mètres', 'Promenade de les Anglais', 'zone piétonne');1
666;(('ET', 'ET', 'EG'), ('conj', 'flat:name'));('vue', 'dégagée', 'et', 'aperçu', 'mer');('vue', 'aperçu', 'mer');0
667;(('ET', 'EG'), ('flat:name',));('aperçu', 'mer');('aperçu', 'mer');1
668;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('vue', 'dégagée', 'sur', 'la', 'rade', 'de', 'Villefranche');('vue', 'rade', 'Villefranche');0
669;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
670;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'sur', 'la', 'rade');('vue', 'rade');1
671;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
672;(('ET', 'EG'), ('nmod',));('vue', 'panoramique', 'et', 'magique', 'sur', 'la', 'baie');('vue', 'baie');1
673;(('ET', 'EG', 'TOPONYME'), ('nmod', 'conj'));('vue', 'imprenable', 'sur', 'la', 'mer', ',', 'Nice');('vue', 'mer', 'Nice');1
674;(('ET', 'EG'), ('nmod',));('vue', 'imprenable', 'sur', 'la', 'mer');('vue', 'mer');1
675;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'imprenable', 'sur', 'la', 'mer', ',', 'Nice', 'et', 'à', 'les', 'alentours');('vue', 'mer', 'alentours');1
676;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('localisation', 'à', 'proximité');('localisation', 'à', 'proximité');1
677;(('ET', 'EG'), ('nmod',));('proximité', 'de', 'les', 'commerces');('proximité', 'commerces');1
678;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
679;(('TOPONYME', 'ET'), ('case',));('Proche', 'Sophia Antipolis');('Sophia Antipolis', 'Proche');1
680;(('EG', 'TOPONYME', 'ET'), ('appos', 'case'));('secteur', 'Proche', 'Sophia Antipolis');('secteur', 'Sophia Antipolis', 'Proche');1
681;(('ET', 'EG'), ('nmod',));('m', 'de', 'la', 'mer');('m', 'mer');1
682;(('ET', 'EG'), ('appos',));('m', 'de', 'la', 'mer', ',', 'quartier');('m', 'quartier');0
683;(('ET', 'TOPONYME'), ('nmod',));('pas', 'de', 'la', 'Pinède');('pas', 'Pinède');1
684;(('ET', 'EG'), ('obl:arg',));('Proche', 'tous', 'commerces');('Proche', 'commerces');1
685;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'tous', 'commerces', 'et', 'commodités');('Proche', 'commerces', 'commodités');1
686;(('ET', 'EG'), ('nmod',));('vue', 'montagne');('vue', 'montagne');1
687;(('ET', 'ET', 'EG'), ('conj', 'flat:name'));('vue', 'montagne', 'et', 'aperçu', 'mer');('vue', 'aperçu', 'mer');0
688;(('ET', 'EG'), ('flat:name',));('aperçu', 'mer');('aperçu', 'mer');1
689;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('angle', 'de', 'la', 'place', 'Masséna');('angle', 'place', 'Masséna');0
690;(('ET', 'EG', 'TOPONYME'), ('conj', 'nmod'));('angle', 'de', 'la', 'place', 'Masséna', ',', 'de', 'la', 'promenade', 'de', 'le Paillon');('angle', 'promenade', 'le Paillon');0
691;(('ET', 'EG'), ('nmod',));('angle', 'de', 'la', 'place');('angle', 'place');1
692;(('ET', 'EG'), ('conj',));('angle', 'de', 'la', 'place', 'Masséna', ',', 'de', 'la', 'promenade');('angle', 'promenade');1
693;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('angle', 'de', 'la', 'place', 'Masséna', ',', 'de', 'la', 'promenade', 'de', 'le Paillon', 'et', 'à', 'proximité', 'immédiate', 'de', 'la', 'mer');('angle', 'proximité', 'mer');0
694;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'la', 'mer');('proximité', 'mer');1
695;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('cœur', 'de', 'le', 'quartier', 'résidentiel', 'de', 'Cimiez');('cœur', 'quartier', 'Cimiez');0
696;(('ET', 'EG'), ('nmod',));('vue', 'féerique', 'sur', 'la', 'mer');('vue', 'mer');1
697;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'féerique', 'sur', 'la', 'mer', 'et', 'la', 'ville');('vue', 'mer', 'ville');1
698;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'le', 'centre ville');('proche', 'centre ville');1
699;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'le', 'centre ville', ',', 'écoles');('proche', 'centre ville', 'écoles');1
700;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'le', 'centre ville', ',', 'écoles', 'et', 'commerces');('proche', 'centre ville', 'commerces');1
701;(('ET', 'EG'), ('nmod',));('cœur', 'de', 'le', 'quartier');('cœur', 'quartier');1
702;(('TOPONYME', 'VERB', 'ET'), ('parataxis', 'obj'));('NICE', 'CIMIEZ', ':', 'En', 'dernier', 'étage', 'd', 'un', 'somptueux', 'Palais', 'Bourgeois', 'avec', 'ascenseur', ',', 'superbe', '2', 'pièces', 'de', '43.12', 'm²', 'en', 'état', 'neuf', 'offre', 'une', 'vue');('NICE', 'offre', 'vue');0
703;(('ET', 'EG'), ('nmod',));('coeur', 'de', 'les', 'ruelles');('coeur', 'ruelles');1
704;(('ET', 'TOPONYME'), ('nmod',));('vue', 'mer', 'jusqu', 'à', 'le', 'Cap D Antibes');('vue', 'Cap D Antibes');1
705;(('ET', 'EG'), ('appos',));('vue', 'mer');('vue', 'mer');1
706;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
707;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
708;(('ET', 'EG'), ('nmod',));('proximité', 'de', 'la', 'mer');('proximité', 'mer');1
709;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
710;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('vue', 'sur', 'le', 'vieux village', 'de', 'Bar sur Loup');('vue', 'vieux village', 'Bar sur Loup');0
711;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'le', 'vieux village');('vue', 'vieux village');1
712;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'le', 'village');('vue', 'village');1
713;(('TOPONYME', 'EG', 'ET'), ('appos', 'conj'));('BAR SUR LOUP', 'CALME', 'ABSOLU', ':', 'Position', 'dominante', 'et', 'splendide', 'vue');('BAR SUR LOUP', 'Position', 'vue');0
714;(('EG', 'ET'), ('conj',));('Position', 'dominante', 'et', 'splendide', 'vue');('Position', 'vue');0
715;(('ET', 'EG'), ('nmod',));('min', 'de', 'la', 'plage');('min', 'plage');1
716;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('min', 'de', 'la', 'plage', 'et', 'de', 'le', 'centre ville');('min', 'plage', 'centre ville');1
717;(('ET', 'ADJ', 'EG'), ('amod', 'root'));('Commerces', 'et', 'toutes', 'commodités', 'à', 'proximité', 'immédiate');('proximité', 'immédiate', 'Commerces');0
718;(('TOPONYME', 'ET'), ('conj',));('Golfe juan', ',', 'à', 'le', 'calme', ',', 'a', '5', 'min');('Golfe juan', 'min');0
719;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('commodités', 'à', 'proximité');('commodités', 'à', 'proximité');1
720;(('ET', 'EG'), ('conj',));('Vue', 'dégagée', ',', 'secteur');('Vue', 'secteur');0
721;(('TOPONYME', 'ET'), ('nmod',));('Cannes', 'centre', 'en', 'étage', 'Palais de les Festivals', 'à', '2', 'pas');('Cannes', 'pas');0
722;(('EG', 'ET'), ('advmod',));('pas', 'des', 'plages');('plages', 'pas');1
723;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'tous', 'les', 'commerces');('proche', 'commerces');1
724;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'tous', 'les', 'commerces', 'et', 'restaurants');('proche', 'commerces', 'restaurants');1
725;(('ET', 'EG', 'TOPONYME'), ('obl:arg', 'nmod'));('proche', 'de', 'le', 'village', 'd', 'Èze');('proche', 'village', 'Èze');0
726;(('ET', 'TOPONYME'), ('nmod',));('minutes', 'de', 'Monaco');('minutes', 'Monaco');1
727;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'le', 'village');('proche', 'village');1
728;(('ET', 'TOPONYME'), ('nmod',));('minutes', 'de', 'Monaco');('minutes', 'Monaco');1
729;(('ET', 'EG'), ('appos',));('aperçu', 'mer');('aperçu', 'mer');1
730;(('EG', 'ET'), ('conj',));('village', 'd', 'Èze', 'et', 'un', 'aperçu');('village', 'aperçu');0
731;(('EG', 'ET'), ('amod',));('Situation', 'proche');('Situation', 'proche');1
732;(('EG', 'ET'), ('nmod',));('Situation', 'proche', 'de', 'le', 'village', ',', 'à', '10', 'minutes');('Situation', 'minutes');1
733;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'toutes', 'commodités');('proche', 'commodités');1
734;(('ET', 'EG', 'EG'), ('obl:arg', 'appos'));('proche', 'de', 'toutes', 'commodités', ':', 'tramway');('proche', 'commodités', 'tramway');0
735;(('EG', 'ET'), ('amod',));('position', 'géographique', 'proche');('position', 'proche');1
736;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('proximité', 'de', 'l', 'école internationale', 'de', 'Mougins');('proximité', 'école internationale', 'Mougins');0
737;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'de', 'les', 'plages', 'de', 'Cannes');('minutes', 'plages', 'Cannes');0
738;(('ET', 'EG'), ('nmod',));('proximité', 'de', 'l', 'école internationale');('proximité', 'école internationale');1
739;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'l', 'autoroute');('minutes', 'autoroute');1
740;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('minutes', 'de', 'l', 'autoroute', 'et', 'à', '15', 'minutes', 'de', 'les', 'plages');('minutes', 'minutes', 'plages');0
741;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'les', 'plages');('minutes', 'plages');1
742;(('EG', 'ET'), ('nmod',));('emplacement', 'à', 'proximité');('emplacement', 'proximité');1
743;(('EG', 'ET'), ('nmod',));('emplacement', 'à', 'proximité', 'de', 'l', 'école internationale', 'de', 'Mougins', ',', 'à', '5', 'minutes');('emplacement', 'minutes');1
744;(('EG', 'ET', 'ET'), ('nmod', 'conj'));('emplacement', 'à', 'proximité', 'de', 'l', 'école internationale', 'de', 'Mougins', ',', 'à', '5', 'minutes', 'de', 'l', 'autoroute', 'et', 'à', '15', 'minutes');('emplacement', 'minutes', 'minutes');1
745;(('ET', 'EG'), ('conj',));('Vue', 'dégagée', ',', 'secteur');('Vue', 'secteur');0
746;(('TOPONYME', 'ET'), ('nmod',));('Cannes', 'centre', 'en', 'étage', 'Palais de les Festivals', 'à', '2', 'pas');('Cannes', 'pas');0
747;(('ET', 'EG'), ('nmod',));('pieds', 'de', 'les', 'commodités');('pieds', 'commodités');1
748;(('EG', 'ET'), ('nmod',));('Square', 'Carnot', ',', 'à', 'le', 'pieds');('Square', 'pieds');0
749;(('ET', 'EG'), ('appos',));('vue', 'panoramique', 'mer');('vue', 'mer');1
750;(('ET', 'EG', 'EG'), ('appos', 'conj'));('vue', 'panoramique', 'mer', 'et', 'montagnes');('vue', 'mer', 'montagnes');1
751;(('ET', 'EG'), ('obl:arg',));('Proche', 'de', 'toutes', 'les', 'commodités');('Proche', 'commodités');1
752;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'de', 'toutes', 'les', 'commodités', ',', 'de', 'la', 'mer');('Proche', 'commodités', 'mer');1
753;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'de', 'toutes', 'les', 'commodités', ',', 'de', 'la', 'mer', 'et', 'de', 'le', 'Tramway');('Proche', 'commodités', 'Tramway');1
754;(('ET', 'TOPONYME'), ('nmod',));('minutes', 'de', 'Mougins');('minutes', 'Mougins');1
755;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'Mougins', ',', 'dans', 'un', 'écrin de verdure');('minutes', 'écrin de verdure');0
756;(('ET', 'EG'), ('nmod',));('vue', 'panoramique', 'sur', 'vieux village');('vue', 'vieux village');1
757;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'panoramique', 'sur', 'vieux village', 'et', 'collines environnantes');('vue', 'vieux village', 'collines environnantes');1
758;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'à', 'pieds', 'de', 'la', 'place', 'de', 'le', 'Casino de Monaco');('minutes', 'place', 'Casino de Monaco');0
759;(('ET', 'EG'), ('nmod',));('minutes', 'à', 'pieds', 'de', 'la', 'place');('minutes', 'place');1
760;(('ET', 'EG'), ('nmod',));('proximité', 'de', 'les', 'plages');('proximité', 'plages');1
761;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'les', 'plages', 'et', 'de', 'les', 'commerces');('proximité', 'plages', 'commerces');1
762;(('EG', 'ET'), ('nmod',));('centre', 'de', 'Juan les Pins', 'à', 'proximité');('centre', 'proximité');1
763;(('ET', 'TOPONYME'), ('nmod',));('proximité', 'directe', 'de', 'la', 'Croisette');('proximité', 'Croisette');1
764;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('proximité', 'directe', 'de', 'la', 'Croisette', 'et', 'de', 'la', 'rue');('proximité', 'Croisette', 'rue');1
765;(('ET', 'EG'), ('nmod',));('proche', 'de', 'le', 'village');('proche', 'village');1
766;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proche', 'de', 'le', 'village', 'et', 'de', 'les', 'commerces');('proche', 'village', 'commerces');1
767;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'de', 'les', 'premières', 'plages', 'de', 'Cannes');('minutes', 'plages', 'Cannes');0
768;(('ET', 'ET', 'TOPONYME'), ('conj', 'nmod'));('minutes', 'de', 'les', 'premières', 'plages', 'de', 'Cannes', ',', '25', 'minutes', 'de', 'Nice');('minutes', 'minutes', 'Nice');0
769;(('ET', 'TOPONYME'), ('nmod',));('minutes', 'de', 'Nice');('minutes', 'Nice');1
770;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'les', 'premières', 'plages');('minutes', 'plages');1
771;(('ET', 'TOPONYME', 'EG'), ('nmod', 'flat:name'));('minutes', 'de', 'Nice', 'Aéroport');('minutes', 'Nice', 'Aéroport');0
772;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('minutes', 'de', 'Nice', 'Aéroport', ',', '45', 'min', 'de', 'la', 'première', 'station de ski');('minutes', 'min', 'station de ski');0
773;(('ET', 'EG'), ('nmod',));('min', 'de', 'la', 'première', 'station de ski');('min', 'station de ski');1
774;(('ET', 'EG', 'TOPONYME'), ('conj', 'appos'));('aperçu', 'mer', 'et', 'colline', 'Grassoise');('aperçu', 'colline', 'Grassoise');0
775;(('ET', 'EG'), ('nmod',));('aperçu', 'mer');('aperçu', 'mer');1
776;(('ET', 'EG'), ('conj',));('aperçu', 'mer', 'et', 'colline');('aperçu', 'colline');1
777;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'mer');('vue', 'mer');1
778;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'sur', 'la', 'campagne');('vue', 'campagne');1
779;(('EG', 'ET'), ('nmod',));('position', 'dominante', 'avec', 'vue');('position', 'vue');0
780;(('ET', 'EG'), ('nmod',));('min', 'de', 'l', 'entrée');('min', 'entrée');1
781;(('ET', 'EG', 'EG'), ('nmod', 'nmod'));('min', 'de', 'l', 'entrée', 'de', 'la', 'pénétrante');('min', 'entrée', 'pénétrante');0
782;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('min', 'de', 'l', 'entrée', 'de', 'la', 'pénétrante', ',', 'et', 'proche', 'de', 'toutes', 'commodités');('min', 'proche', 'commodités');0
783;(('ET', 'EG'), ('nmod',));('proche', 'de', 'toutes', 'commodités');('proche', 'commodités');1
784;(('ET', 'TOPONYME'), ('nmod',));('min', 'de', 'Carros');('min', 'Carros');1
785;(('ET', 'ADP', 'TOPONYME'), ('flat:name', 'flat:name'));('min', 'from', 'Carros');('min', 'from', 'Carros');1
786;(('ET', 'EG'), ('nmod',));('coeur', 'de', 'le', 'village');('coeur', 'village');1
787;(('TOPONYME', 'ET'), ('appos',));('CONSÉGUDES', '(', 'arrière pays', ')', '30', 'min');('CONSÉGUDES', 'min');1
788;(('TOPONYME', 'ET'), ('appos',));('Conségudes', '30', 'min');('Conségudes', 'min');1
789;(('ET', 'EG'), ('nmod',));('proches', 'de', 'tout', 'commerces');('proches', 'commerces');1
790;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('minutes', 'de', 'l', 'institut', 'Stanislas');('minutes', 'institut', 'Stanislas');0
791;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'l', 'institut');('minutes', 'institut');1
792;(('ET', 'EG'), ('nmod',));('minutes', 'à', 'pied', 'de', 'la', 'plage');('minutes', 'plage');1
793;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'la', 'gare');('minutes', 'gare');1
794;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'les', 'plages');('proche', 'plages');1
795;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'les', 'plages', 'et', 'de', 'les', 'commerces');('proche', 'plages', 'commerces');1
796;(('TOPONYME', 'ET'), ('amod',));('Juan les Pins', 'centre', ',', 'proche');('Juan les Pins', 'proche');1
797;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'sur', 'les', 'collines');('vue', 'collines');1
798;(('ET', 'TOPONYME'), ('nmod',));('proximité', 'de', 'Sophia');('proximité', 'Sophia');1
799;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'Sophia', ',', 'écoles');('proximité', 'Sophia', 'écoles');1
800;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'Sophia', ',', 'écoles', ',', 'collège');('proximité', 'Sophia', 'collège');1
801;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'Sophia', ',', 'écoles', ',', 'collège', ',', 'lycée');('proximité', 'Sophia', 'lycée');1
802;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'Sophia', ',', 'écoles', ',', 'collège', ',', 'lycée', ',', 'transports');('proximité', 'Sophia', 'transports');1
803;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'Sophia', ',', 'écoles', ',', 'collège', ',', 'lycée', ',', 'transports', ',', 'commerces');('proximité', 'Sophia', 'commerces');1
804;(('EG', 'VERB', 'ET'), ('acl', 'obl:mod'));('Quartier', 'Île Verte', ',', 'très', 'apprécie', 'par', 'les', 'familles', 'pour', 'sa', 'proximité');('Quartier', 'apprécie', 'proximité');1
805;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'sur', 'village');('vue', 'village');1
806;(('ET', 'EG'), ('nmod',));('pas', 'de', 'le', 'centre ville');('pas', 'centre ville');1
807;(('EG', 'ET'), ('nmod',));('situation', 'environnement', 'privilégié', 'avec', 'belle', 'vue');('situation', 'vue');1
808;(('EG', 'ET'), ('nmod',));('situation', 'environnement', 'privilégié', 'avec', 'belle', 'vue', 'dégagée', 'sur', 'village', 'à', 'deux', 'pas');('situation', 'pas');1
809;(('ET', 'EG'), ('nmod',));('proximité', 'de', 'les', 'commerces');('proximité', 'commerces');1
810;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
811;(('ET', 'EG'), ('nmod',));('Vue', 'panoramique', 'mer');('Vue', 'mer');1
812;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('Vue', 'panoramique', 'mer', 'et', 'lac');('Vue', 'mer', 'lac');1
813;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'le', 'village');('proximité', 'village');1
814;(('EG', 'ET'), ('nmod',));('emplacement', 'Vue');('emplacement', 'Vue');1
815;(('EG', 'ET'), ('nmod',));('emplacement', 'Vue', 'panoramique', 'mer', 'et', 'lac', 'a', 'proximité');('emplacement', 'proximité');1
816;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('cote', 'de', 'la', 'célèbre', 'place', 'VILLEMORIN');('cote', 'place', 'VILLEMORIN');0
817;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('cote', 'de', 'la', 'célèbre', 'place', 'VILLEMORIN', 'de', 'Juan les Pins');('cote', 'place', 'Juan les Pins');0
818;(('ET', 'EG'), ('nmod',));('cote', 'de', 'la', 'célèbre', 'place');('cote', 'place');1
819;(('ET', 'EG'), ('nmod',));('proximité', 'à', 'le', 'centre ville');('proximité', 'centre ville');1
820;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'à', 'le', 'centre ville', ',', 'de', 'les', 'plages');('proximité', 'centre ville', 'plages');1
821;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'à', 'le', 'centre ville', ',', 'de', 'les', 'plages', 'et', 'de', 'la', 'mer');('proximité', 'centre ville', 'mer');1
822;(('ET', 'EG'), ('nmod',));('Proche', 'centre');('Proche', 'centre');1
823;(('ET', 'EG'), ('conj',));('Proche', 'centre', ',', 'quartier');('Proche', 'quartier');0
824;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'les', 'commerces');('proximité', 'commerces');1
825;(('ET', 'EG'), ('obl:arg',));('Proche', 'de', 'toutes', 'commodités');('Proche', 'commodités');1
826;(('ET', 'EG', 'EG'), ('obl:arg', 'appos'));('Proche', 'de', 'toutes', 'commodités', ':', 'bus');('Proche', 'commodités', 'bus');0
827;(('EG', 'EG', 'ET'), ('appos', 'nmod'));('commodités', ':', 'bus', 'à', 'quelques', 'pas');('commodités', 'bus', 'pas');0
828;(('EG', 'ET'), ('nmod',));('bus', 'à', 'quelques', 'pas');('bus', 'pas');1
829;(('EG', 'ET'), ('case',));('Proche', 'toutes', 'commodités');('commodités', 'Proche');1
830;(('ET', 'TOPONYME'), ('nmod',));('mètres', 'de', 'la', 'Croisette');('mètres', 'Croisette');1
831;(('ET', 'EG'), ('flat:name',));('aperçu', 'mer');('aperçu', 'mer');1
832;(('ET', 'EG'), ('nmod',));('pas', 'de', 'la', 'mer');('pas', 'mer');1
833;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('pas', 'de', 'la', 'mer', ',', 'de', 'la', 'gare');('pas', 'mer', 'gare');1
834;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('pas', 'de', 'la', 'mer', ',', 'de', 'la', 'gare', 'et', 'des', 'accès autoroutiers');('pas', 'mer', 'accès autoroutiers');1
835;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
836;(('ET', 'EG'), ('nmod',));('m', 'de', 'la', 'plage');('m', 'plage');1
837;(('TOPONYME', 'EG', 'ET'), ('conj', 'advmod'));('Cannes', 'secteur', 'résidentiel', 'de', 'Montfleury', 'dans', 'résidence', 'sécurisée', 'de', 'standing', ',', 'à', 'deux', 'pas', 'des', 'commerces');('Cannes', 'commerces', 'pas');0
